"Dstat 1.1.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node25-018.cm.cluster",,,,"User:","machajewskim"
"Cmdline:","dstat --all --full -D total --output 1680366979158248026myfile.csv",,,,"Date:","01 Apr 2023 18:36:19 CEST"
"total cpu usage",,,,,"dsk/total",,"net/eno1",,"net/ib0",,"paging",,"memory usage",,,,"system",,"procs",,,"load avg",,,"system"
0,0.125,52.416,47.459,0,0,0,106892,123030474,0,0,0,0,23987367936,54389436416,56142897152,109791100928,6986,8737,0,20,3,20.760,12.710,8.380,Apr-01 18:38:47
0,0.125,52.402,47.472,0,0,0,111330,123090318,0,0,0,0,23983583232,54393221120,56142897152,109794885632,7001,8652,0,20,3,20.760,12.710,8.380,Apr-01 18:38:48
0,0.125,53.942,45.932,0,0,0,107514,123018220,0,0,0,0,23980011520,54396792832,56142897152,109798457344,7054,8843,0,20,3,20.860,12.860,8.450,Apr-01 18:38:49
0,0.125,54.894,44.981,0,0,12288,110170,123034768,0,0,0,0,23974944768,54401859584,56142897152,109803524096,7000,8475,0,20,0,20.860,12.860,8.450,Apr-01 18:38:50
0,0.125,54.054,45.821,0,0,0,111552,123011290,0,0,0,0,23971528704,54405275648,56142897152,109806940160,7032,8676,0,20,3,20.860,12.860,8.450,Apr-01 18:38:51
0,0.150,54.905,44.945,0,0,0,105384,123098768,0,0,0,0,23967432704,54409371648,56142897152,109811036160,6918,8545,0,20,3,20.860,12.860,8.450,Apr-01 18:38:52
0,0.125,54.894,44.981,0,0,0,114250,123030750,0,0,0,0,23963418624,54413385728,56142897152,109815050240,7091,8738,0,20,3,20.860,12.860,8.450,Apr-01 18:38:53
0.025,0.125,54.891,44.959,0,0,0,115900,123022446,0,0,0,0,23959289856,54417514496,56142897152,109819179008,7067,8896,0,20,3,21.110,13.050,8.540,Apr-01 18:38:54
0,0.150,54.880,44.970,0,0,0,104156,123081848,0,0,0,0,23955038208,54421766144,56142897152,109823430656,6850,8670,0,20,0,21.110,13.050,8.540,Apr-01 18:38:55
0,0.125,54.905,44.970,0,0,0,112192,123028412,0,0,0,0,23951261696,54425542656,56142897152,109827207168,6949,8553,0,20,3,21.110,13.050,8.540,Apr-01 18:38:56
0,0.125,54.907,44.967,0,0,0,110370,123086006,0,0,0,0,23947214848,54429589504,56142897152,109831254016,7040,8838,0,20,3,21.110,13.050,8.540,Apr-01 18:38:57
0,0.175,54.877,44.947,0,0,0,109850,123021820,0,0,0,0,23943225344,54433579008,56142897152,109835243520,7003,8549,0,20,3,21.110,13.050,8.540,Apr-01 18:38:58
0,0.150,54.880,44.970,0,0,0,109054,123026180,0,0,0,0,23939645440,54437158912,56142897152,109838823424,6980,8841,0,20,3,21.100,13.180,8.600,Apr-01 18:38:59
0,0.150,54.891,44.959,0,0,0,103346,123017852,0,0,0,0,23935168512,54441631744,56142901248,109843296256,6937,8975,0,20,0,21.100,13.180,8.600,Apr-01 18:39:00
0,0.125,54.894,44.981,0,0,0,110038,123091952,0,0,0,0,23931588608,54445195264,56142917632,109846863872,7019,8567,0,20,3,21.100,13.180,8.600,Apr-01 18:39:01
0,0.100,54.919,44.981,0,0,0,107478,123030638,0,0,0,0,23927123968,54449659904,56142917632,109851328512,6973,8889,0,20,3,21.100,13.180,8.600,Apr-01 18:39:02
0.025,0.150,54.880,44.945,0,0,0,102954,123026266,0,0,0,0,23923240960,54453542912,56142917632,109855211520,6884,8446,0,20,3,21.100,13.180,8.600,Apr-01 18:39:03
0,0.125,54.905,44.970,0,0,0,106300,123085722,0,0,0,0,23918665728,54458118144,56142917632,109859786752,6975,8804,0,20,3,21.090,13.310,8.670,Apr-01 18:39:04
0,0.125,54.905,44.970,0,0,8192,106960,123017526,0,0,0,0,23914921984,54461861888,56142917632,109863530496,7041,8860,0,20,0,21.090,13.310,8.670,Apr-01 18:39:05
0,0.175,54.866,44.959,0,0,0,102998,123080092,0,0,0,0,23910907904,54465875968,56142917632,109867544576,6879,8306,0,20,3,21.090,13.310,8.670,Apr-01 18:39:06
0,0.125,54.905,44.970,0,0,0,106036,123034326,0,0,0,0,23907553280,54469230592,56142917632,109870899200,6943,8864,0,20,3,21.090,13.310,8.670,Apr-01 18:39:07
0,0.125,54.907,44.967,0,0,0,105054,123030474,0,0,0,0,23903170560,54473613312,56142917632,109875281920,6934,8514,0,20,3,21.090,13.310,8.670,Apr-01 18:39:08
0,0.150,54.891,44.959,0,0,0,110527,123022302,0,0,0,0,23899557888,54477225984,56142917632,109878894592,7138,8861,0,20,3,21.170,13.450,8.740,Apr-01 18:39:09
0,0.125,54.894,44.981,0,0,0,108862,123088020,0,0,0,0,23894331392,54482452480,56142917632,109884121088,7040,8871,2,20,0,21.170,13.450,8.740,Apr-01 18:39:10
0,0.175,54.877,44.947,0,0,4096,108724,123021940,0,0,0,0,23891177472,54485606400,56142917632,109887275008,6976,8546,0,20,3,21.170,13.450,8.740,Apr-01 18:39:11
0.025,0.150,54.866,44.959,0,0,0,107176,123026554,0,0,0,0,23886917632,54489866240,56142917632,109891534848,6958,8724,0,20,3,21.170,13.450,8.740,Apr-01 18:39:12
0,0.125,54.905,44.970,0,0,0,110372,123030408,0,0,0,0,23882731520,54494052352,56142917632,109895720960,7129,8778,0,20,3,21.170,13.450,8.740,Apr-01 18:39:13
0,0.125,54.907,44.967,0,0,0,114758,123086006,0,0,0,0,23878881280,54497902592,56142917632,109899571200,7102,8707,0,20,3,21.230,13.600,8.810,Apr-01 18:39:14
0,0.175,49.175,50.650,0,0,0,109654,123028412,0,0,0,0,23874719744,54502064128,56142917632,109903732736,7044,9189,0,25,0,21.230,13.600,8.810,Apr-01 18:39:15
0,0.125,47.397,52.477,0,0,0,114174,123098604,0,0,0,0,23870824448,54505959424,56142917632,109907628032,7048,8440,0,25,3,21.230,13.600,8.810,Apr-01 18:39:16
0.025,0.150,47.371,52.454,0,0,0,109550,123024454,0,0,0,0,23866843136,54509940736,56142917632,109911609344,7035,9195,0,25,3,21.230,13.600,8.810,Apr-01 18:39:17
0,0.150,47.384,52.466,0,0,0,111180,123019478,0,0,0,0,23862747136,54514036736,56142917632,109915721728,7062,9061,0,25,3,21.230,13.600,8.810,Apr-01 18:39:18
0,0.150,47.384,52.466,0,0,0,112204,123034702,0,0,0,0,23858618368,54518165504,56142917632,109919850496,7054,9145,0,25,3,21.610,13.800,8.910,Apr-01 18:39:19
0.250,0.376,52.053,47.321,0,0,0,110920,123111602,0,0,0,0,23852552192,54524198912,56142917632,109925916672,8839,14053,0,20,0,21.610,13.800,8.910,Apr-01 18:39:20
0,0.150,57.382,42.467,0,0,0,110298,123026114,0,0,0,0,23851655168,54525075456,56142938112,109926809600,7127,9062,0,20,3,21.610,13.800,8.910,Apr-01 18:39:21
0,0.150,57.386,42.464,0,0,0,114746,123005638,0,0,0,0,23847559168,54529171456,56142938112,109930905600,7119,8892,0,19,3,21.610,13.800,8.910,Apr-01 18:39:22
0,0.175,55.478,44.347,0,0,0,110100,123034326,0,0,0,0,23843463168,54533267456,56142938112,109935001600,7045,8752,1,19,3,21.610,13.800,8.910,Apr-01 18:39:23
0.025,0.225,52.853,46.897,0,0,0,110228,123101435,0,0,0,0,23840534528,54536196096,56142938112,109937930240,7273,8932,0,20,3,21.650,13.940,8.980,Apr-01 18:39:24
0.025,0.150,54.766,45.059,0,0,0,110166,123005354,0,0,0,0,23836442624,54540296192,56142929920,109942026240,7072,9031,0,18,0,21.650,13.940,8.980,Apr-01 18:39:25
0.676,1.777,57.747,39.800,0,0,0,108574,123030910,0,0,0,0,23831719936,54545018880,56142929920,109946748928,8006,9365,1,17,3,21.650,13.940,8.980,Apr-01 18:39:26
0.825,1.850,59.490,37.834,0,0,0,111108,123095004,0,0,0,0,23828574208,54548172800,56142921728,109949898752,8089,9083,1,16,4,21.650,13.940,8.980,Apr-01 18:39:27
1.477,4.080,58.473,35.970,0,0,0,110602,123023214,0,0,0,0,23824486400,54552268800,56142913536,109953990656,10195,10539,3,14,3,21.650,13.940,8.980,Apr-01 18:39:28
2.277,7.057,60.035,30.631,0,0,0,104850,123018656,0,0,0,0,23820673024,54556090368,56142905344,109957808128,12763,11094,4,13,3,21.590,14.050,9.040,Apr-01 18:39:29
2.951,10.255,59.155,27.639,0,0,0,109214,123030354,0,0,0,0,23816896512,54559891456,56142880768,109961596928,14690,10111,7,12,0,21.590,14.050,9.040,Apr-01 18:39:30
4.955,15.265,53.854,25.926,0,0,0,108136,123078042,0,0,0,0,23811973120,54564823040,56142872576,109966524416,17709,10122,9,11,3,21.590,14.050,9.040,Apr-01 18:39:31
5.504,17.488,53.415,23.593,0,0,0,108008,123171790,0,0,0,0,23807819776,54568984576,56142864384,109970681856,18797,9889,10,10,3,21.590,14.050,9.040,Apr-01 18:39:32
5.957,19.925,55.219,18.899,0,0,0,103214,123035596,0,0,0,0,23804055552,54572756992,56142856192,109974450176,19612,9881,11,9,3,21.590,14.050,9.040,Apr-01 18:39:33
6.732,21.997,53.929,17.342,0,0,0,111706,123023074,0,228,0,0,23800041472,54576779264,56142848000,109978468352,21189,9823,12,8,3,21.470,14.150,9.100,Apr-01 18:39:34
7.234,23.429,53.141,16.195,0,0,8192,109252,123020586,0,0,0,0,23796682752,54580146176,56142839808,109981831168,22051,9335,13,7,0,21.470,14.150,9.100,Apr-01 18:39:35
8.060,24.831,53.041,14.068,0,0,8192,105136,123099542,0,0,0,0,23792427008,54584410112,56142831616,109986091008,23178,8954,14,6,3,21.470,14.150,9.100,Apr-01 18:39:36
8.688,27.416,52.979,10.916,0,0,0,111238,123022494,0,0,0,0,23787868160,54588977152,56142823424,109990653952,23940,9529,15,5,3,21.470,14.150,9.100,Apr-01 18:39:37
9.932,29.672,53.240,7.155,0,0,0,107852,123023950,0,0,0,0,23783477248,54593376256,56142815232,109995048960,25187,10389,19,3,3,21.470,14.150,9.100,Apr-01 18:39:38
11.158,35.301,51.339,2.202,0,0,0,78996,79184514,0,0,0,0,23781613568,54595252224,56142802944,109996916736,25070,10124,20,0,5,21.350,14.250,9.160,Apr-01 18:39:39
0.626,2.303,95.169,1.902,0,0,0,101644338,474250,0,0,0,0,23779684352,54471380992,56268505088,109998739456,12279,13253,1,1,6,21.350,14.250,9.160,Apr-01 18:39:40
0,0.727,96.991,2.282,0,0,49152,123143434,371238,0,0,0,0,23779119104,54361231360,56378925056,109998747648,11320,11651,1,1,4,21.350,14.250,9.160,Apr-01 18:39:41
0.025,0.777,97.166,2.031,0,0,0,110014068,340970,0,0,0,0,23779708928,54533677056,56205660160,109998673920,10336,10545,0,1,6,21.350,14.250,9.160,Apr-01 18:39:42
0,0.802,95.812,3.385,0,0,0,123097774,382836,0,0,0,0,23779233792,54377295872,56362483712,109999501312,11306,11620,0,2,3,21.350,14.250,9.160,Apr-01 18:39:43
0.025,0.777,94.183,5.015,0,0,0,123048012,379946,0,0,0,0,23779766272,54235062272,56503889920,109998727168,11686,11586,0,3,3,21.400,14.380,9.230,Apr-01 18:39:44
0.025,0.727,91.924,7.324,0,0,20480,123050306,374216,0,0,0,0,23780147200,54108663808,56629710848,109998129152,13714,11573,0,3,1,21.400,14.380,9.230,Apr-01 18:39:45
0.025,0.551,92.084,7.340,0,0,0,122905432,370394,0,0,0,0,23780507648,54001278976,56736505856,109998125056,13487,11429,1,2,4,21.400,14.380,9.230,Apr-01 18:39:46
0,0.401,92.240,7.359,0,0,0,123049258,372964,0,0,0,0,23779934208,53875335168,56862662656,109998555136,13525,11554,0,3,3,21.400,14.380,9.230,Apr-01 18:39:47
0,0.376,92.263,7.361,0,0,0,123025058,370086,0,0,0,0,23779938304,53765382144,56972447744,109998698496,13333,11337,0,3,3,21.400,14.380,9.230,Apr-01 18:39:48
0.025,0.551,91.963,7.461,0,0,0,123049754,411310,0,0,0,0,23780147200,53927636992,56809918464,109998485504,13408,11704,0,3,4,21.290,14.470,9.290,Apr-01 18:39:49
0,0.451,84.802,14.747,0,0,16384,123070703,384443,0,0,0,0,23781408768,53769240576,56966889472,109997289472,11271,11658,0,9,3,21.290,14.470,9.290,Apr-01 18:39:50
0,0.601,87.397,12.002,0,0,0,123166310,368118,0,0,0,0,23779135488,53684166656,57053843456,109999087616,11157,11333,0,4,3,21.290,14.470,9.290,Apr-01 18:39:51
0.025,0.451,91.988,7.536,0,0,0,122906880,370020,56,0,0,0,23779872768,53573672960,57163468800,109998714880,11828,11526,0,3,3,21.290,14.470,9.290,Apr-01 18:39:52
0,0.526,92.186,7.288,0,0,0,123048868,373612,56,0,0,0,23778869248,53729447936,57008599040,109999632384,11380,11618,0,3,3,21.290,14.470,9.290,Apr-01 18:39:53
0.025,0.551,94.143,5.282,0,0,0,123050602,369336,56,0,0,0,23778463744,53910040576,56828346368,109999853568,11175,11485,0,2,5,21.270,14.580,9.350,Apr-01 18:39:54
0,0.476,93.166,6.358,0,0,0,123049392,374518,56,0,0,0,23778443264,53776994304,56961478656,109999788032,11030,11451,0,3,0,21.270,14.580,9.350,Apr-01 18:39:55
0.025,0.601,93.290,6.084,0,0,0,123191236,368242,56,0,0,0,23779446784,53958189056,56779083776,109999009792,11229,11486,0,2,4,21.270,14.580,9.350,Apr-01 18:39:56
0,0.853,93.128,6.020,0,0,0,122997782,374242,56,0,0,0,23778844672,54115860480,56622080000,109999099904,11433,11634,0,2,4,21.270,14.580,9.350,Apr-01 18:39:57
0,0.476,94.714,4.810,0,0,12288,122955022,374514,56,0,0,0,23779119104,54264934400,56472698880,109999726592,11060,11469,2,2,3,21.270,14.580,9.350,Apr-01 18:39:58
0.025,0.426,93.841,5.709,0,0,0,123049840,378040,56,0,0,0,23779557376,54123028480,56614264832,109998440448,11067,11540,0,3,4,21.160,14.670,9.410,Apr-01 18:39:59
0,0.702,92.229,7.069,0,0,8192,123192196,366116,56,0,0,0,23780057088,54036385792,56700243968,109997481984,11174,11457,2,1,0,21.160,14.670,9.410,Apr-01 18:40:00
0,0.802,93.031,6.167,0,0,0,123071528,380194,0,0,0,0,23779368960,53887651840,56849305600,109998743552,11277,11631,0,3,4,21.160,14.670,9.410,Apr-01 18:40:01
0.025,0.803,92.599,6.573,0,0,0,123001506,366108,0,0,0,0,23779983360,54066450432,56669892608,109997137920,11158,11418,0,2,3,21.160,14.670,9.410,Apr-01 18:40:02
0,0.753,94.456,4.792,0,0,4096,123001264,370612,0,0,0,0,23779901440,53957505024,56778821632,109998592000,11181,11476,0,2,3,21.160,14.670,9.410,Apr-01 18:40:03
0.025,0.803,94.407,4.765,0,0,0,122975152,373072,0,0,0,0,23779295232,53840232448,56896700416,109998780416,11295,11548,1,2,5,21.070,14.760,9.460,Apr-01 18:40:04
0.025,0.702,94.336,4.937,0,0,12288,122978884,374432,0,0,0,0,23779889152,53881970688,56853811200,109998800896,11174,11520,1,2,1,21.070,14.760,9.460,Apr-01 18:40:05
0,0.450,95.345,4.204,0,0,40960,123117878,373426,0,0,0,0,23781056512,54011285504,56723329024,109997768704,11187,11571,3,1,4,21.070,14.760,9.460,Apr-01 18:40:06
0.025,0.375,94.718,4.881,0,0,0,123048508,371168,0,0,0,0,23780360192,54035546112,56699928576,109998239744,11028,11469,0,2,3,21.070,14.760,9.460,Apr-01 18:40:07
0,0.501,94.645,4.855,0,0,4096,123025984,374452,0,0,0,0,23780626432,54183239680,56551903232,109997477888,11114,11484,0,2,3,21.070,14.760,9.460,Apr-01 18:40:08
0,0.351,95.443,4.206,0,0,0,123048872,394630,0,0,0,0,23779942400,54066511872,56669216768,109997465600,11422,11584,0,2,3,20.990,14.850,9.520,Apr-01 18:40:09
0,0.401,88.711,10.889,0,0,0,123051928,370896,0,0,0,0,23780511744,54238855168,56496041984,109997576192,13450,11494,0,2,0,20.990,14.850,9.520,Apr-01 18:40:10
0.025,0.400,96.572,3.003,0,0,8192,123047564,370474,0,0,0,0,23779172352,54419660800,56316510208,109998424064,13481,11543,1,0,4,20.990,14.850,9.520,Apr-01 18:40:11
0,0.376,93.866,5.759,0,0,0,123047228,389376,0,0,0,0,23781036032,54229487616,56504819712,109996584960,13566,11664,0,3,3,20.990,14.850,9.520,Apr-01 18:40:12
0,0.325,92.290,7.384,0,0,16384,123049540,368572,0,0,0,0,23780442112,54128783360,56605888512,109997649920,13469,11554,0,3,3,20.990,14.850,9.520,Apr-01 18:40:13
0,0.300,93.866,5.834,0,0,0,123047834,367914,0,0,0,0,23779880960,54034874368,56700194816,109998637056,13346,11430,0,2,3,20.910,14.930,9.580,Apr-01 18:40:14
0.025,0.375,88.310,11.289,0,0,0,123049072,387318,0,0,0,0,23780392960,53877481472,56856846336,109998804992,12517,11668,0,7,1,20.910,14.930,9.580,Apr-01 18:40:15
0,0.325,88.358,11.317,0,0,0,123048884,371334,0,0,0,0,23779934208,53767192576,56967266304,109998665728,13451,11527,0,3,3,20.910,14.930,9.580,Apr-01 18:40:16
0.025,0.426,92.188,7.361,0,0,0,123047574,368680,0,0,0,0,23779581952,53941624832,56792891392,109998628864,13558,11576,0,3,4,20.910,14.930,9.580,Apr-01 18:40:17
0,0.375,94.670,4.955,0,0,0,123047400,366220,0,0,0,0,23778689024,53857169408,56878534656,109999271936,13418,11459,0,2,3,20.910,14.930,9.580,Apr-01 18:40:18
0.025,0.450,97.072,2.452,0,0,0,123047082,367866,0,0,0,0,23779647488,54317363200,56417382400,109998264320,13490,11514,0,1,3,20.830,15.020,9.630,Apr-01 18:40:19
0.175,1.003,94.460,4.362,0,0,8192,115956292,390258,0,0,0,0,23778107392,54437519360,56299356160,110001025024,16103,17509,0,2,1,20.830,15.020,9.630,Apr-01 18:40:20
0.025,0.551,84.927,14.497,0,0,0,123026448,406169,0,0,0,0,23779540992,54278324224,56456953856,109998505984,14119,12479,0,7,3,20.830,15.020,9.630,Apr-01 18:40:21
0,0.652,91.128,8.221,0,0,4096,123167440,370318,0,0,0,0,23779532800,54167867392,56567418880,109998075904,13635,11529,1,2,3,20.830,15.020,9.630,Apr-01 18:40:22
0,0.803,91.947,7.250,0,0,4096,123003982,374522,0,0,0,0,23779274752,54042169344,56692883456,109999251456,13708,11546,0,3,3,20.830,15.020,9.630,Apr-01 18:40:23
0.050,0.677,91.982,7.291,0,0,4096,122953384,369800,0,0,0,0,23779225600,53931753472,56803348480,109998366720,13612,11451,0,3,3,20.770,15.100,9.690,Apr-01 18:40:24
0,0.526,92.192,7.282,0,0,0,123050864,371118,0,0,0,0,23777837056,53823397888,56912502784,109999693824,13669,11547,0,3,0,20.770,15.100,9.690,Apr-01 18:40:25
0.576,2.103,88.110,9.212,0,0,4096,123050127,369060,0,0,0,0,23776837632,53767311360,56969588736,110000107520,13648,11559,2,1,3,20.770,15.100,9.690,Apr-01 18:40:26
2.729,8.162,88.758,0.351,0,0,45056,13854296,180962,0,0,0,0,23778201600,54592757760,56143007744,110000259072,9080,5105,4,0,5,20.770,15.100,9.690,Apr-01 18:40:27
4.124,11.822,84.054,0,0,0,0,18016,3254,0,0,0,0,23778226176,54592790528,56142983168,110000234496,7581,595,8,0,3,20.770,15.100,9.690,Apr-01 18:40:28
7.002,20.405,72.593,0,0,0,0,17128,4610,0,0,0,0,23778095104,54592933888,56142970880,110000365568,12218,698,13,0,3,20.700,15.180,9.740,Apr-01 18:40:29
9.205,26.938,63.857,0,0,0,0,18222,3154,0,0,0,0,23778062336,54593015808,56142954496,110000398336,15868,598,17,0,0,20.700,15.180,9.740,Apr-01 18:40:30
11.603,36.334,52.063,0,0,0,0,31788,22124,0,0,0,0,6844547072,71526682624,56142934016,126938869760,20798,625,20,0,4,20.700,15.180,9.740,Apr-01 18:40:31
0.675,3.877,95.448,0,0,0,0,37284,31008,0,0,0,0,2699825152,75681763328,56132915200,131080245248,3482,1402,0,0,3,20.700,15.180,9.740,Apr-01 18:40:32
0,0,100,0,0,0,0,16246,264,0,0,0,0,2699464704,75682250752,56132788224,131080732672,340,324,0,0,3,20.700,15.180,9.740,Apr-01 18:40:33
0.025,0,99.975,0,0,0,0,13849,1571,0,228,0,0,2699456512,75682258944,56132788224,131080740864,315,271,0,0,3,19.050,14.930,9.690,Apr-01 18:40:34
0.025,0.025,99.950,0,0,0,0,14089,3993,0,0,0,0,2695913472,75685801984,56132788224,131084283904,397,312,0,0,1,19.050,14.930,9.690,Apr-01 18:40:35
0,0,100,0,0,0,32768,16930,12372,0,0,0,0,2695475200,75686240256,56132788224,131084722176,310,291,0,0,3,19.050,14.930,9.690,Apr-01 18:40:36
0.050,0.100,99.850,0,0,0,0,12504,832,0,0,0,0,2695348224,75686367232,56132788224,131084849152,474,402,0,0,5,19.050,14.930,9.690,Apr-01 18:40:37
0,0,100,0,0,0,0,13886,264,0,0,0,0,2695348224,75686367232,56132788224,131084849152,259,237,0,0,3,19.050,14.930,9.690,Apr-01 18:40:38
0.025,0,99.975,0,0,0,0,15656,264,0,0,0,0,2695012352,75686699008,56132792320,131085180928,291,267,0,0,3,17.520,14.680,9.640,Apr-01 18:40:39
0,0,100,0,0,0,0,15846,1578,0,0,0,0,2695077888,75686621184,56132804608,131085103104,265,250,0,0,0,17.520,14.680,9.640,Apr-01 18:40:40
0.025,0,99.975,0,0,0,16384,14438,17684,0,0,0,0,2695077888,75686621184,56132804608,131085103104,313,341,0,0,3,17.520,14.680,9.640,Apr-01 18:40:41
0.025,0,99.975,0,0,0,0,17956,264,0,0,0,0,2695077888,75686621184,56132804608,131085103104,282,248,0,0,3,17.520,14.680,9.640,Apr-01 18:40:42
0.025,0.025,99.950,0,0,0,0,12056,264,0,0,0,0,2695127040,75686572032,56132804608,131085053952,223,238,0,0,3,17.520,14.680,9.640,Apr-01 18:40:43
0,0,100,0,0,0,0,12646,264,0,0,0,0,2695127040,75686572032,56132804608,131085053952,253,240,0,0,3,16.120,14.440,9.590,Apr-01 18:40:44
0.025,0,99.975,0,0,0,0,17556,1578,0,0,0,0,2695077888,75686621184,56132804608,131085103104,358,344,0,0,0,16.120,14.440,9.590,Apr-01 18:40:45
0,0,100,0,0,0,0,19082,12632,0,0,0,0,2695077888,75686621184,56132804608,131085103104,333,350,0,0,4,16.120,14.440,9.590,Apr-01 18:40:46
0.025,0.025,99.950,0,0,0,0,13638,264,0,0,0,0,2694725632,75686973440,56132804608,131085455360,260,256,0,0,3,16.120,14.440,9.590,Apr-01 18:40:47
0,0,100,0,0,0,0,19538,264,0,0,0,0,2694873088,75686825984,56132804608,131085307904,335,288,0,0,3,16.120,14.440,9.590,Apr-01 18:40:48
0.025,0,99.975,0,0,0,0,15750,264,0,0,0,0,2694823936,75686875136,56132804608,131085357056,337,331,0,0,3,14.830,14.200,9.540,Apr-01 18:40:49
0,0,100,0,0,0,0,17616,1578,0,0,0,0,2694823936,75686875136,56132804608,131085357056,267,254,0,0,0,14.830,14.200,9.540,Apr-01 18:40:50
0.025,0,99.975,0,0,0,0,18976,15040,0,0,0,0,2694774784,75686924288,56132804608,131085406208,305,287,0,0,3,14.830,14.200,9.540,Apr-01 18:40:51
0,0,100,0,0,0,0,15596,264,0,0,0,0,2694873088,75686825984,56132804608,131085307904,257,230,0,0,3,14.830,14.200,9.540,Apr-01 18:40:52
0.025,0,99.975,0,0,0,0,13826,264,0,0,0,0,2694823936,75686875136,56132804608,131085357056,305,312,0,0,3,14.830,14.200,9.540,Apr-01 18:40:53
0,0,100,0,0,0,0,19136,264,0,0,0,0,2694823936,75686875136,56132804608,131085357056,306,275,0,0,3,13.640,13.960,9.480,Apr-01 18:40:54
0.025,0,99.975,0,0,0,0,16796,1668,0,0,0,0,2694848512,75686850560,56132804608,131085332480,264,261,0,0,0,13.640,13.960,9.480,Apr-01 18:40:55
0,0,100,0,0,0,0,19814,20444,0,0,0,0,2694815744,75686883328,56132804608,131085365248,331,304,0,0,3,13.640,13.960,9.480,Apr-01 18:40:56
0.025,0,99.975,0,0,0,0,13236,264,0,0,0,0,2694864896,75686834176,56132804608,131085316096,309,307,0,0,3,13.640,13.960,9.480,Apr-01 18:40:57
0,0,100,0,0,0,0,12976,264,0,0,0,0,2694811648,75686883328,56132808704,131085365248,238,224,0,0,3,13.640,13.960,9.480,Apr-01 18:40:58
0.025,0,99.975,0,0,0,0,14416,264,0,0,0,0,2694799360,75686883328,56132820992,131085365248,240,241,0,0,3,12.550,13.730,9.430,Apr-01 18:40:59
0.025,0,99.975,0,0,0,0,17026,1578,0,0,0,0,2694750208,75686932480,56132820992,131085414400,253,240,0,0,0,12.550,13.730,9.430,Apr-01 18:41:00
0,0,100,0,0,0,0,12540,25776,0,0,0,0,2694799360,75686883328,56132820992,131085365248,279,305,0,0,3,12.550,13.730,9.430,Apr-01 18:41:01
0.025,0,99.975,0,0,0,0,16246,264,0,0,0,0,2694799360,75686883328,56132820992,131085365248,284,254,0,0,3,12.550,13.730,9.430,Apr-01 18:41:02
0,0,100,0,0,0,0,12116,264,0,0,0,0,2694672384,75687010304,56132820992,131085492224,217,222,0,0,3,12.550,13.730,9.430,Apr-01 18:41:03
0.025,0,99.975,0,0,0,0,7396,264,0,0,0,0,2694672384,75687010304,56132820992,131085492224,180,186,0,0,3,11.540,13.500,9.380,Apr-01 18:41:04
0,0,100,0,0,0,0,18206,1578,0,0,0,0,2694672384,75687010304,56132820992,131085492224,340,344,0,0,0,11.540,13.500,9.380,Apr-01 18:41:05
0.025,0,99.975,0,0,0,122880,13974,11130,0,0,0,0,2694672384,75687010304,56132820992,131085492224,271,281,0,0,3,11.540,13.500,9.380,Apr-01 18:41:06
0,0.025,99.975,0,0,0,0,13296,264,0,0,0,0,2694574080,75687108608,56132820992,131085590528,234,200,0,0,3,11.540,13.500,9.380,Apr-01 18:41:07
0.025,0,99.975,0,0,0,0,11526,264,0,0,0,0,2694721536,75686961152,56132820992,131085443072,214,176,0,0,3,11.540,13.500,9.380,Apr-01 18:41:08
0,0,100,0,0,0,0,19592,616,0,0,0,0,2694651904,75687030784,56132820992,131085512704,367,321,0,0,3,10.620,13.280,9.330,Apr-01 18:41:09
0.025,0,99.975,0,0,0,0,12648,1578,0,0,0,0,2694651904,75687030784,56132820992,131085512704,200,180,0,0,0,10.620,13.280,9.330,Apr-01 18:41:10
0,0,100,0,0,0,4096,14780,15260,0,0,0,0,2694602752,75687079936,56132820992,131085561856,246,231,0,0,3,10.620,13.280,9.330,Apr-01 18:41:11
0.025,0,99.975,0,0,0,0,17178,264,0,0,0,0,2694701056,75686981632,56132820992,131085463552,278,219,0,0,3,10.620,13.280,9.330,Apr-01 18:41:12
0,0,100,0,0,0,0,10500,264,0,0,0,0,2694651904,75687030784,56132820992,131085512704,261,248,0,0,3,10.620,13.280,9.330,Apr-01 18:41:13
0.025,0,99.975,0,0,0,0,15716,264,0,0,0,0,2694651904,75687030784,56132820992,131085512704,278,233,0,0,3,9.770,13.060,9.280,Apr-01 18:41:14
0,0.025,99.975,0,0,0,0,19198,1578,0,0,0,0,2694524928,75687157760,56132820992,131085639680,305,265,0,0,0,9.770,13.060,9.280,Apr-01 18:41:15
0.025,0,99.975,0,0,0,0,11746,20622,0,0,0,0,2694524928,75687157760,56132820992,131085639680,216,191,0,0,3,9.770,13.060,9.280,Apr-01 18:41:16
0.025,0,99.975,0,0,0,0,16896,264,0,0,0,0,2694447104,75687235584,56132820992,131085717504,349,312,0,0,3,9.770,13.060,9.280,Apr-01 18:41:17
0,0,100,0,0,0,0,15716,264,0,0,0,0,2694447104,75687235584,56132820992,131085717504,287,210,0,0,3,9.770,13.060,9.280,Apr-01 18:41:18
0.050,0.025,99.925,0,0,0,0,15006,264,0,0,0,0,2694479872,75687186432,56132837376,131085668352,242,205,0,0,3,8.990,12.840,9.230,Apr-01 18:41:19
